property,label,iri,domain,range,comment
obo.OBCI_1000001,['provides_clinical_information_for'],http://purl.obolibrary.org/obo/OBCI_1000001,[],[],[]
obo.OBCI_1000002,['diagnostic_for'],http://purl.obolibrary.org/obo/OBCI_1000002,[],[obo.OBCI_0000037],[]
obo.OBCI_1000003,['monitors_status_of'],http://purl.obolibrary.org/obo/OBCI_1000003,[],[obo.OBCI_0000037],[]
obo.OBCI_1000004,['indicates_response_to_exposure_to'],http://purl.obolibrary.org/obo/OBCI_1000004,[],[obo.OBCI_0000065],[]
obo.OBCI_1000010,['indicates_clinical_effect_of_exposure_to'],http://purl.obolibrary.org/obo/OBCI_1000010,[],[],[]
obo.OBCI_1000005,['predicts_effect_of_exposure_to'],http://purl.obolibrary.org/obo/OBCI_1000005,[],[obo.OBCI_0000065],[]
obo.OBCI_1000006,['prognostic_for'],http://purl.obolibrary.org/obo/OBCI_1000006,[],[obo.OBCI_0000037],[]
obo.OBCI_1000007,['assesses_toxicity_of_exposure_to'],http://purl.obolibrary.org/obo/OBCI_1000007,[],[obo.OBCI_0000065],[]
obo.OBCI_1000008,['indicates_risk_of_developing'],http://purl.obolibrary.org/obo/OBCI_1000008,[],[obo.OBCI_0000037],[]
obo.OBCI_1000009,['indicated_by_above_normal_level_of'],http://purl.obolibrary.org/obo/OBCI_1000009,[],[],[]
obo.OBCI_1000014,['indicated_by_difference_in_level_of'],http://purl.obolibrary.org/obo/OBCI_1000014,[],[],[]
obo.OBCI_1000011,['has_BEST_classification'],http://purl.obolibrary.org/obo/OBCI_1000011,[],[],[]
obo.OBCI_1000012,['has_CIViC_classification'],http://purl.obolibrary.org/obo/OBCI_1000012,[],[],[]
obo.OBCI_1000013,['monitors_effect_of_exposure_to'],http://purl.obolibrary.org/obo/OBCI_1000013,[],[obo.OBCI_0000065],[]
obo.OBCI_1000015,['indicated_by_below_normal_level_of'],http://purl.obolibrary.org/obo/OBCI_1000015,[],[],[]
obo.OBCI_1000016,['indicated_by_presence_of'],http://purl.obolibrary.org/obo/OBCI_1000016,[],[],[]
obo.OBCI_1000017,['indicated_by_absence_of'],http://purl.obolibrary.org/obo/OBCI_1000017,[],[],[]
obo.OBCI_1000018,['determined_using_sample_from'],http://purl.obolibrary.org/obo/OBCI_1000018,[],[],[]
obo.OBCI_1000019,['concentration_of'],http://purl.obolibrary.org/obo/OBCI_1000019,[],[],[]
obo.OBCI_1000021,['has_denominator'],http://purl.obolibrary.org/obo/OBCI_1000021,[],[],[]
obo.OBCI_1000022,['has_numerator'],http://purl.obolibrary.org/obo/OBCI_1000022,[],[],[]
rdf-schema.comment,[],http://www.w3.org/2000/01/rdf-schema#comment,[],[],[]
rdf-schema.label,[],http://www.w3.org/2000/01/rdf-schema#label,[],[],[]
terms.license,[],http://purl.org/dc/terms/license,[],[],[]
obo.IAO_0000115,['definition'],http://purl.obolibrary.org/obo/IAO_0000115,[],[],[]
terms.description,[],http://purl.org/dc/terms/description,[],[],[]
terms.title,[],http://purl.org/dc/terms/title,[],[],[]
oboInOwl.auto-generated-by,[],http://www.geneontology.org/formats/oboInOwl#auto-generated-by,[],[],[]
oboInOwl.date,[],http://www.geneontology.org/formats/oboInOwl#date,[],[],[]
oboInOwl.default-namespace,[],http://www.geneontology.org/formats/oboInOwl#default-namespace,[],[],[]
oboInOwl.hasBroadSynonym,['has_broad_synonym'],http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym,[],[],[]
oboInOwl.hasDbXref,['database_cross_reference'],http://www.geneontology.org/formats/oboInOwl#hasDbXref,[],[],[]
oboInOwl.hasExactSynonym,['has_exact_synonym'],http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,[],[],[]
oboInOwl.hasNarrowSynonym,['has_narrow_synonym'],http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym,[],[],[]
oboInOwl.hasOBOFormatVersion,['has_obo_format_version'],http://www.geneontology.org/formats/oboInOwl#hasOBOFormatVersion,[],[],[]
oboInOwl.hasOBONamespace,['has_obo_namespace'],http://www.geneontology.org/formats/oboInOwl#hasOBONamespace,[],[],[]
oboInOwl.hasRelatedSynonym,['has_related_synonym'],http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,[],[],[]
oboInOwl.hasSynonymType,['has_synonym_type'],http://www.geneontology.org/formats/oboInOwl#hasSynonymType,[],[],[]
oboInOwl.id,[],http://www.geneontology.org/formats/oboInOwl#id,[],[],[]
oboInOwl.saved-by,[],http://www.geneontology.org/formats/oboInOwl#saved-by,[],[],[]
oboInOwl.shorthand,['shorthand'],http://www.geneontology.org/formats/oboInOwl#shorthand,[],[],[]
